OID_,cities_GNIS_FEATU,cities_FEATURE_NA,cities_COUNTY_NAM,cities_POPULATION,cities_SHAPE_Leng,agg_elevation_RANGE,agg_elevation_MEAN,agg_elevation_STD,agg_elevation_MEDIAN,agg_weather_Join_Count,agg_weather_max_tmpf,agg_weather_min_tmpf,agg_weather_precip,agg_observations_Point_Count,agg_landcover_CLASS_1,agg_landcover_CLASS_2,agg_landcover_CLASS_3,Shape_Length,Shape_Area
1,2394210,Bluffton,Otter Tail,208,12870.280762000000323,84,1347.493968253971161,21.954256812506273,1353,1,69.002293786885247,49.479672562841529,0.000163934426230,0,794,4350,2728,12870.280762023727220,7087683.480084892362356
2,2396539,Sartell,Stearns,17412,88231.299453800005722,120,1047.756071288695921,16.313258685953787,1047,1,69.840329163934427,50.023606579234972,0.000491803278689,0,19568,7118,3978,88231.299453776984592,24250985.567084155976772
3,2393505,Cambridge,Isanti,9862,65438.361366700002691,85,949.380605579094663,17.984951137822982,955,1,70.462951622950825,49.659673486338797,0.000273224043716,1,12836,4015,5822,65438.361366730663576,20381853.179678104817867
4,2397203,Waseca,Waseca,9221,31106.933644500000810,56,1136.962191014808241,12.658397197639019,1135,1,72.184262655737697,52.943935595628410,0.000382513661202,0,9359,1836,4548,31106.933644519085647,14136177.240650027990341
5,2395562,La Crescent,Houston,5272,24252.756330299998808,584,725.382272974443140,128.798478934628491,679,1,74.276315368421052,58.962108315789479,0.000000000000000,0,5603,536,4860,24252.756330299889669,9373417.752363113686442
6,2397159,Waconia,Carver,13297,44882.354267800001253,131,982.050788954637369,27.642835694900700,973,1,71.529183147540991,51.450820103825137,0.000109289617486,0,10769,3102,2262,44882.354267769194848,14549615.170589018613100
7,2393894,Aitkin,Aitkin,2196,41176.159029100002954,103,1219.592045725174785,18.238654809265061,1214,1,68.352129398907095,47.040328617486338,0.000109289617486,0,3569,1187,3629,41176.159029088150419,7570687.057845544070005
8,2394417,Hopkins,Hennepin,18926,21196.223854299998493,103,919.090105406326188,19.539527606655700,920,1,73.313443251366124,53.397379956284148,0.000218579234973,7,11394,28,340,21196.223854340791149,10590550.469015998765826
9,2395412,Morristown,Rice,955,10786.889080700000704,95,1020.124961047054285,21.376391326537632,1010,1,73.594204473684201,55.527897500000002,0.000000000000000,0,1273,1588,404,10786.889080652004850,2922664.813618948217481
10,2395811,Madison Lake,Blue Earth,1258,28923.446336100001645,49,1037.691180124220637,11.181963481560810,1040,1,74.350163890710391,54.677049360655737,0.000163934426230,0,1602,1964,398,28923.446336070104735,3575901.120319958310574
11,2393581,Cobden,Brown,34,6400.632175589999861,65,1029.236267605633884,10.851274742352446,1030,1,75.725789105263161,53.571579763157899,0.000000000000000,0,285,2479,83,6400.632175590977567,2560208.645446268841624
12,2394708,Evan,Brown,69,6927.126149149999947,13,1025.330623306231928,3.516285748506093,1024,1,75.725789105263161,53.571579763157899,0.000000000000000,0,536,2378,34,6927.126149149015873,2651869.581083305645734
