"City","geom","Incoming","Outgoing","Risk"
"Bluffton","0101000020E6100000B9BC8742F6CE57C07496CA701B3C4740",0,0,0.00036999539448024347
"Sartell","0101000020E6100000E08E21C2608E57C01886B51C2DCF4640",9,13,0.0019796050662316536
"Sartell","0101000020E610000080C3EE83158C57C0DF8E01C16ECF4640",9,13,0.0019796050662316536
"Cambridge","0101000020E610000088E5FA1F964E57C0E4CD0F9ADCC74640",0,0,0.0007813009175799695
"Waseca","0101000020E6100000B829979E3F6057C02AA92922830A4640",5,2,0.0009783769924103726
"La Crescent","0101000020E61000003D6612B174D356C054BF096F18EA4540",4,3,0.0010430469555480133
"La Crescent","0101000020E61000000EC0E7D602D456C01E24ABC0E6EC4540",4,3,0.0010430469555480133
"Waconia","0101000020E6100000F7235D40947257C0BBB0F922B36B4640",15,23,0.0018469676685792542
"Aitkin","0101000020E6100000A7D63EB72B6D57C06699FDFE57434740",0,0,0.0003378847551915623
"Hopkins","0101000020E6100000915FFD12F55957C0BA0C704587764640",40,31,0.004857256002099158
"Morristown","0101000020E6100000915651EC795C57C081D57A6CB21C4640",8,2,0.0009816466977512269
"Madison Lake","0101000020E6100000F0978B18557457C0236528DD811A4640",5,5,0.0011899378510591065
"Cobden","0101000020E610000030DE8C0A2CB657C0959419BB29244640",4,3,0.0009517966123914447
"Evan","0101000020E61000009B7B575E83B557C01AABE43F702D4640",3,2,0.0009712040472532132
"Lanesboro","0101000020E6100000A687E0F419FE56C09B65099589DB4540",7,4,0.0007274078378301011
"Isle","0101000020E6100000256F7CC4625D57C01E8E353EC1114740",0,0,0.00029087437812148827
"Cohasset","0101000020E6100000BCB070D5FE6857C0DB7188DFB69E4740",0,0,0.00022093668016596476
"Crosby","0101000020E61000008A4396FE437D57C034DF4403A13E4740",0,0,0.0005613423062457756
"Ceylon","0101000020E61000003EC137C55EA857C03A5CA92528C44540",0,0,0.0004605218438416383
"Carver","0101000020E61000008CB45A0E756857C023DE62AA60614640",19,22,0.001988919258577127
"Milaca","0101000020E610000050B79CB19C6957C000E2FA7FCCE04640",2,4,0.0006564138749140008
"Roseau","0101000020E610000053673E2CC6F057C0730A4ECD176C4840",0,0,9.822055307187675e-05
"Tyler","0101000020E61000007F983E11920858C02E51844054234640",1,1,0.0004128449197092355
"Bingham Lake","0101000020E6100000AABDFADDF2C257C0E8C533AD69F44540",3,2,0.0006417864039819319
"Nielsville","0101000020E6100000D066BD5A313458C0EF7F63D0BCC34740",0,0,0.00042438134336141714
"Mapleton","0101000020E61000007EF5C5BC177D57C06AB72C868DF64540",3,1,0.001037977882184961
"Hanover","0101000020E6100000F25960050A6B57C0798EAF907A944640",48,44,0.004974001346439965
"Hanover","0101000020E6100000F235D884766957C00B20B878D2934640",48,44,0.004974001346439965
"Pine Island","0101000020E6100000A96A4FFA442557C0D48467FA04184640",13,16,0.0018091571353731604
"Pine Island","0101000020E61000004B0DD099372957C01A89F131241A4640",13,16,0.0018091571353731604
"Bemidji","0101000020E610000004E6154A65B857C079C80DB082BE4740",0,0,0.00018760074996789975
"Maple Lake","0101000020E610000085C0B379668057C0DC23B4EBDE9D4640",10,15,0.00083093020761986
"Norwood Young America","0101000020E6100000770F03CFC77A57C064D237B6CF624640",14,12,0.0013853312791180113
"Donaldson","0101000020E6100000D609F4F43B3958C0365B7E7B4E494840",0,0,0.0002572759303132379
"White Bear Lake","0101000020E6100000499F0FA3E33E57C0A69F036EF7864640",83,99,0.009279811737408399
"White Bear Lake","0101000020E61000001A26498BFA4057C0242D98CF63884640",83,99,0.009279811737408399
"Elrosa","0101000020E61000008EAF448398BC57C05F596A013FC84640",3,5,0.000708789499790166
"Trail","0101000020E61000006D85F183ACEC57C0A0792CB642E44740",0,0,0.0002759626068584183
"Randall","0101000020E6100000548820CD0CA057C09B50D539590B4740",0,0,0.0005579180083562437
"Hoyt Lakes","0101000020E61000004814DC5A680757C095BA7696A2C74740",0,0,9.271485844328763e-05
"Georgetown","0101000020E6100000B92B6B9DEF3258C02FD5F6E4088A4740",0,0,0.0003178899664972013
"Lake Shore","0101000020E61000004A38F86E439757C014F26FE383404740",0,0,0.0004668029319148633
"Anoka","0101000020E61000005713E3B6E95857C012A5F26CDE9A4640",37,38,0.004064592583165963
"Coon Rapids","0101000020E61000004C23465BCC5357C0C8BB5BCA75964640",47,46,0.005494521939735053
"Wykoff","0101000020E61000001744E9EB1C1157C004824F40B5DA4540",2,4,0.0006019358869674448
"Sebeka","0101000020E61000003C2DB4EE9FC557C0C862323388504740",0,0,0.00028865508521283355
"Pennock","0101000020E6100000C45726C533CB57C0C61DF061AB924640",1,0,0.0007582194213535384
"Maple Grove","0101000020E61000002C832B6A9A5D57C0A6754926F18D4640",54,45,0.005435824641579031
"North Saint Paul","0101000020E61000008B284023F73F57C05A12D765C0814640",54,23,0.004091150127248005
"Odessa","0101000020E6100000933AAC97571558C0B01CC09B8EA14640",2,3,0.0005482851304814981
"Laporte","0101000020E610000045F056D978B057C0C06044307C9B4740",0,0,0.00015468258197723144
"Dundee","0101000020E610000098371C6FDEDD57C097DA30610CEC4540",0,0,0.0005802507632496775
"Steen","0101000020E6100000739DB057D61058C0E5AC9DD1D4C14540",0,0,0.000234375912175366
"Stacy","0101000020E6100000404A1E819C3F57C0469EFAF527B14640",11,12,0.001295613631932936
"Fulda","0101000020E6100000EBFDDB218CE657C025BF48393FEF4540",1,3,0.000518224937681889
"Callaway","0101000020E6100000DA03BD6D5BFA57C05B0B94A4B27D4740",0,0,0.000236450062184017
"Millville","0101000020E6100000E1570E23F21257C07D40EE754A1F4640",9,3,0.0008979918035872836
"Campbell","0101000020E61000006AE11CE2F31958C0CC17F25F7B0C4740",1,0,0.00047925355419496256
"East Gull Lake","0101000020E6100000A8DC714DB59657C0B580144087324740",2,0,0.0005014230026118015
"Hendrum","0101000020E610000071EB3E81E23358C0E8A4B934CFA14740",0,0,0.0003740966277276243
"Princeton","0101000020E6100000903A3ECEA26557C0AB25C6DAD7C64640",11,9,0.0014575856206520447
"Princeton","0101000020E610000090741986CE6557C0D0207E1C76C94640",11,9,0.0014575856206520447
"Amboy","0101000020E6100000DC29EBE51F8A57C06C60BADAA8F14540",2,4,0.0010107717205242938
"Lucan","0101000020E6100000D52F2D2875DA57C011C789FE7B344640",2,1,0.0009673880664494901
"Winger","0101000020E61000004807568E1AFF57C0F2A81687A6C44740",0,0,0.0003703079547516626
"Echo","0101000020E61000000FFB75007BDA57C0DE3393410D4F4640",1,6,0.0009394904665701716
"Round Lake","0101000020E6100000767F4D4D13DE57C09400EAE8C6C44540",0,0,0.0002868252455888252
"Perham","0101000020E6100000B85792C2F0E457C0285886BACF4C4740",0,0,0.0003699050047690462
"Warba","0101000020E6100000AAB4784E035157C0A60FA32781914740",0,0,0.00018956259326475213
"Medford","0101000020E6100000E59A8652D24F57C0224FD5A493154640",2,0,0.0009838100538893501
"Cokato","0101000020E61000003A869620068C57C0111E7EE0E3894640",13,9,0.0009382893596806662
"Westbrook","0101000020E610000092765B82FDDB57C00AE3783957054640",2,0,0.0006519828063216474
"Faribault","0101000020E61000004476DF91D95157C0FEAE9F2258264640",6,6,0.0011495429788714931
"Preston","0101000020E61000008A9191CD540557C04024C94017D64540",3,3,0.000641250523851345
"Calumet","0101000020E610000096351A880F5157C0403246B9E7A84740",0,0,0.000262878331718681
"Brook Park","0101000020E61000003920C839A94457C05DE43D1766F94640",1,0,0.00046475173760491525
"Foxhome","0101000020E61000001ECB077AFC1358C0E4B580DB70234740",0,0,0.00040866585697553747
"Fairmont","0101000020E6100000876519EE909D57C0B8C731976FD24540",0,0,0.0006644438172915303
"Hollandale","0101000020E61000008C3EEF71154D57C0F829FFA343E14540",4,3,0.0007609333948224994
"Brooks","0101000020E61000004AA70CF3390058C0F9A08B7583E84740",0,0,0.0002853680981706675
"Burtrum","0101000020E6100000ED2906A5FDAB57C0CC46AF2CD3EE4640",1,1,0.0006826575125804143
"Meire Grove","0101000020E61000009B038FE9A2B757C0A678F45F26D04640",3,1,0.0007252030056865706
"Hugo","0101000020E610000056A6D8C35B3D57C05C359F3C62954640",29,33,0.002345968038922233
"Foreston","0101000020E6100000E50DF265696D57C0D3D17762B4DD4640",0,0,0.0006381254007514959
"Fountain","0101000020E610000052F11B38970857C0D232C2B00BDF4540",1,4,0.0005667627497576077
"Vermillion","0101000020E6100000DD313722B73D57C0548F3DD636564640",13,13,0.0016656344800928785
