"City","geom","Incoming","Outgoing","Risk"
"Bluffton","0101000020E6100000B9BC8742F6CE57C07496CA701B3C4740",0,0,0.00035375687822150923
"Sartell","0101000020E6100000E08E21C2608E57C01886B51C2DCF4640",6,3,0.0019555023938844633
"Sartell","0101000020E610000080C3EE83158C57C0DF8E01C16ECF4640",6,3,0.0019555023938844633
"Cambridge","0101000020E610000088E5FA1F964E57C0E4CD0F9ADCC74640",2,6,0.0004390595304106212
"Waseca","0101000020E6100000B829979E3F6057C02AA92922830A4640",1,1,0.00040157631384157876
"La Crescent","0101000020E61000003D6612B174D356C054BF096F18EA4540",0,0,0.0006504368850081355
"La Crescent","0101000020E61000000EC0E7D602D456C01E24ABC0E6EC4540",0,0,0.0006504368850081355
"Waconia","0101000020E6100000F7235D40947257C0BBB0F922B36B4640",14,14,0.0012246587964837448
"Aitkin","0101000020E6100000A7D63EB72B6D57C06699FDFE57434740",0,0,0.0001698157391650873
"Hopkins","0101000020E6100000915FFD12F55957C0BA0C704587764640",41,29,0.003615028548340423
"Morristown","0101000020E6100000915651EC795C57C081D57A6CB21C4640",1,0,0.0004490410316923378
"Madison Lake","0101000020E6100000F0978B18557457C0236528DD811A4640",9,9,0.000789333201595755
"Cobden","0101000020E610000030DE8C0A2CB657C0959419BB29244640",0,0,0.00048391799884652274
"Evan","0101000020E61000009B7B575E83B557C01AABE43F702D4640",0,0,0.0004970167986785154
"Lanesboro","0101000020E6100000A687E0F419FE56C09B65099589DB4540",0,0,0.0006584172837738821
"Isle","0101000020E6100000256F7CC4625D57C01E8E353EC1114740",0,0,0.0002224478360532937
"Cohasset","0101000020E6100000BCB070D5FE6857C0DB7188DFB69E4740",0,0,0.00022144088711081563
"Crosby","0101000020E61000008A4396FE437D57C034DF4403A13E4740",0,0,0.0014534014551585706
"Ceylon","0101000020E61000003EC137C55EA857C03A5CA92528C44540",0,0,0.0002213550203208324
"Carver","0101000020E61000008CB45A0E756857C023DE62AA60614640",9,10,0.0011868205967940373
"Milaca","0101000020E610000050B79CB19C6957C000E2FA7FCCE04640",0,0,0.000604106378848304
"Roseau","0101000020E610000053673E2CC6F057C0730A4ECD176C4840",0,0,0.00004021772988401625
"Tyler","0101000020E61000007F983E11920858C02E51844054234640",0,0,0.000304257763078412
"Bingham Lake","0101000020E6100000AABDFADDF2C257C0E8C533AD69F44540",0,0,0.0003820954523010872
"Nielsville","0101000020E6100000D066BD5A313458C0EF7F63D0BCC34740",0,0,0.0003011667523608881
"Mapleton","0101000020E61000007EF5C5BC177D57C06AB72C868DF64540",3,2,0.0004969740053132138
"Hanover","0101000020E6100000F25960050A6B57C0798EAF907A944640",38,36,0.0035337109784883652
"Hanover","0101000020E6100000F235D884766957C00B20B878D2934640",38,36,0.0035337109784883652
"Pine Island","0101000020E6100000A96A4FFA442557C0D48467FA04184640",1,3,0.0011860886076505567
"Pine Island","0101000020E61000004B0DD099372957C01A89F131241A4640",1,3,0.0011860886076505567
"Bemidji","0101000020E610000004E6154A65B857C079C80DB082BE4740",0,0,0.0001530851785684153
"Maple Lake","0101000020E610000085C0B379668057C0DC23B4EBDE9D4640",5,3,0.00042443002610772194
"Norwood Young America","0101000020E6100000770F03CFC77A57C064D237B6CF624640",3,1,0.0009201162599380692
"Donaldson","0101000020E6100000D609F4F43B3958C0365B7E7B4E494840",0,0,0.00019168242385546685
"White Bear Lake","0101000020E6100000499F0FA3E33E57C0A69F036EF7864640",221,232,0.028200144411899664
"White Bear Lake","0101000020E61000001A26498BFA4057C0242D98CF63884640",221,232,0.028200144411899664
"Elrosa","0101000020E61000008EAF448398BC57C05F596A013FC84640",0,0,0.0005402182534905417
"Trail","0101000020E61000006D85F183ACEC57C0A0792CB642E44740",0,0,0.0002662436388506593
"Randall","0101000020E6100000548820CD0CA057C09B50D539590B4740",1,1,0.000292429186608034
"Hoyt Lakes","0101000020E61000004814DC5A680757C095BA7696A2C74740",0,0,0.00009301155554926898
"Georgetown","0101000020E6100000B92B6B9DEF3258C02FD5F6E4088A4740",0,0,0.00016243037686158158
"Lake Shore","0101000020E61000004A38F86E439757C014F26FE383404740",0,0,0.000446695816038072
"Anoka","0101000020E61000005713E3B6E95857C012A5F26CDE9A4640",21,13,0.0027800014514643375
"Coon Rapids","0101000020E61000004C23465BCC5357C0C8BB5BCA75964640",37,20,0.0035570447661491663
"Wykoff","0101000020E61000001744E9EB1C1157C004824F40B5DA4540",0,0,0.0003313595423935151
"Sebeka","0101000020E61000003C2DB4EE9FC557C0C862323388504740",0,0,0.00016758647155691025
"Pennock","0101000020E6100000C45726C533CB57C0C61DF061AB924640",0,0,0.0003899359433242403
"Maple Grove","0101000020E61000002C832B6A9A5D57C0A6754926F18D4640",35,25,0.0033997223074905933
"North Saint Paul","0101000020E61000008B284023F73F57C05A12D765C0814640",41,59,0.004723204589161226
"Odessa","0101000020E6100000933AAC97571558C0B01CC09B8EA14640",0,0,0.0002938051684789937
"Laporte","0101000020E610000045F056D978B057C0C06044307C9B4740",0,0,0.00007708460950499618
"Dundee","0101000020E610000098371C6FDEDD57C097DA30610CEC4540",0,0,0.001070383154427979
"Steen","0101000020E6100000739DB057D61058C0E5AC9DD1D4C14540",0,0,0.00019371922279259199
"Stacy","0101000020E6100000404A1E819C3F57C0469EFAF527B14640",3,14,0.0008887118531936871
"Fulda","0101000020E6100000EBFDDB218CE657C025BF48393FEF4540",0,0,0.00034743118989443653
"Callaway","0101000020E6100000DA03BD6D5BFA57C05B0B94A4B27D4740",0,0,0.0001274313033228621
"Millville","0101000020E6100000E1570E23F21257C07D40EE754A1F4640",0,0,0.0005658774674757606
"Campbell","0101000020E61000006AE11CE2F31958C0CC17F25F7B0C4740",0,0,0.0002908251797863469
"East Gull Lake","0101000020E6100000A8DC714DB59657C0B580144087324740",0,0,0.00037159787514477684
"Hendrum","0101000020E610000071EB3E81E23358C0E8A4B934CFA14740",0,0,0.00023987191763916507
"Princeton","0101000020E6100000903A3ECEA26557C0AB25C6DAD7C64640",1,2,0.0006462134230296654
"Princeton","0101000020E610000090741986CE6557C0D0207E1C76C94640",1,2,0.0006462134230296654
"Amboy","0101000020E6100000DC29EBE51F8A57C06C60BADAA8F14540",3,3,0.0004971445454145774
"Lucan","0101000020E6100000D52F2D2875DA57C011C789FE7B344640",0,0,0.0005109288956192849
"Winger","0101000020E61000004807568E1AFF57C0F2A81687A6C44740",0,0,0.00024020375764957606
"Echo","0101000020E61000000FFB75007BDA57C0DE3393410D4F4640",0,0,0.0005527461967556404
"Round Lake","0101000020E6100000767F4D4D13DE57C09400EAE8C6C44540",0,0,0.00013557281760187784
"Perham","0101000020E6100000B85792C2F0E457C0285886BACF4C4740",0,0,0.0002489840417936241
"Warba","0101000020E6100000AAB4784E035157C0A60FA32781914740",0,0,0.00011918869218580308
"Medford","0101000020E6100000E59A8652D24F57C0224FD5A493154640",2,2,0.00042421523871189127
"Cokato","0101000020E61000003A869620068C57C0111E7EE0E3894640",5,4,0.0005114980648868801
"Westbrook","0101000020E610000092765B82FDDB57C00AE3783957054640",0,0,0.0003738229274077603
"Faribault","0101000020E61000004476DF91D95157C0FEAE9F2258264640",2,8,0.0004859624260569025
"Preston","0101000020E61000008A9191CD540557C04024C94017D64540",0,0,0.0003917179350387237
"Calumet","0101000020E610000096351A880F5157C0403246B9E7A84740",0,0,0.0009225254512817331
"Brook Park","0101000020E61000003920C839A94457C05DE43D1766F94640",1,0,0.00033952259402199726
"Foxhome","0101000020E61000001ECB077AFC1358C0E4B580DB70234740",0,0,0.00019854648254376042
"Fairmont","0101000020E6100000876519EE909D57C0B8C731976FD24540",0,0,0.0003572278487697988
"Hollandale","0101000020E61000008C3EEF71154D57C0F829FFA343E14540",0,0,0.00047828462625547276
"Brooks","0101000020E61000004AA70CF3390058C0F9A08B7583E84740",0,0,0.00018637889568419663
"Burtrum","0101000020E6100000ED2906A5FDAB57C0CC46AF2CD3EE4640",1,1,0.0006487005122468808
"Meire Grove","0101000020E61000009B038FE9A2B757C0A678F45F26D04640",4,3,0.0010202593138702633
"Hugo","0101000020E610000056A6D8C35B3D57C05C359F3C62954640",13,10,0.001606543576679971
"Foreston","0101000020E6100000E50DF265696D57C0D3D17762B4DD4640",0,0,0.000551036090202503
"Fountain","0101000020E610000052F11B38970857C0D232C2B00BDF4540",0,0,0.0003485713512266847
"Vermillion","0101000020E6100000DD313722B73D57C0548F3DD636564640",6,12,0.001073770228782143
"West Concord","0101000020E6100000786DF12E913957C0A2381B4A92134640",1,0,0.0003102951141220943
"Lake Henry","0101000020E61000001CF1145EF8B257C097E1FBF51EBB4640",2,2,0.0005714817166779404
"East Bethel","0101000020E6100000E6DCC7560B4D57C075421ABB85AD4640",13,9,0.0009700737675743392
"Buhl","0101000020E610000093EEEC033A3157C039529FFBEBBF4740",0,0,0.0003868031929881447
"Proctor","0101000020E6100000D94A03C7990E57C02C6DE181D45E4740",0,0,0.00023128589399850467
"Hayward","0101000020E61000005D360FFBBD4F57C02DD595F62DD34540",0,0,0.0004245724803950642
"Wabasha","0101000020E6100000E7C8CA04B00257C0EBB27899712F4640",0,0,0.00031862427370362486
"Pine Springs","0101000020E6100000C8055A95133D57C06004C2C8B6844640",54,63,0.006466274661835657
"Nashua","0101000020E61000005774ADD1951358C0BF5F6EDFD2044740",0,0,0.0007005173777070906
"Ogilvie","0101000020E61000000CFF7AAD055B57C0584125551DEA4640",1,0,0.00027662785393719905
"Milroy","0101000020E61000000BEA857C6DE357C00CB7B9A279354640",0,0,0.00043195124682765974
"Caledonia","0101000020E6100000ADC5C5700FE056C0ED19A7E634D14540",0,0,0.00020747883394301914
"Cyrus","0101000020E6100000BF6D6EC13EEF57C085D48D54B1CE4640",0,0,0.00031758974559107685
"Prinsburg","0101000020E6100000CD45E5DBF7CB57C0E9EEB048AB774640",0,0,0.0004066326824043175
"Roosevelt","0101000020E61000001EAB48A67EC657C0EA141CF951674840",0,0,0.00010424757738466084
"Roosevelt","0101000020E6100000AE7087FEA7C557C010AC0C882A664840",0,0,0.00010424757738466084
"Humboldt","0101000020E6100000C001F72A0E4658C023CF553AF4754840",0,0,0.00009817651282002093
"Lonsdale","0101000020E6100000B256D240085B57C0B3B3D511263D4640",2,6,0.0004970802451675123
"Dexter","0101000020E61000003EAEACC5E22C57C0D66AE6A521DC4540",0,0,0.0003971646068839407
"Canton","0101000020E61000005280E98383FB56C09778DAB5CEC34540",0,0,0.00022567700574820855
"Evansville","0101000020E6100000D68D1F4CF4EB57C06E07543CCC004740",0,0,0.0003636140977159067
"Rice Lake","0101000020E61000008CC114D25C0757C0EFD7B24FCE724740",0,0,0.00008714471273133172
"Foley","0101000020E61000007893A7B6337A57C0F2E6EE83F0D44640",0,0,0.0003639024708596835
"Lester Prairie","0101000020E6100000BE63AB1E588257C0F5C596F110714640",7,6,0.0009372901038351381
"Burnsville","0101000020E61000000728769EE35157C068214CBEE6614640",15,14,0.0021289647734288293
"Excelsior","0101000020E6100000B586DA40426457C01D0483475D734640",99,86,0.009843477336514181
"Hitterdal","0101000020E6100000E18638BA891058C04C5ACB63267D4740",0,0,0.0001730762527533551
"Pine River","0101000020E61000000CAAB73A719957C0E68B105D785C4740",0,0,0.0008162461036627831
"Madelia","0101000020E610000005591938E49A57C024CD4D7827064640",1,1,0.0004161946532784589
"Springfield","0101000020E610000076BD8887D7BE57C05B145D6B5E1E4640",0,0,0.00047602772515412334
"Hanska","0101000020E6100000C516EC3CA59F57C0BADED24A0C134640",0,0,0.0004104079439536261
"Greenwald","0101000020E610000052D51E78FFB657C0EF339A35FBCC4640",2,2,0.0010443787274247442
"Saint Francis","0101000020E61000003D8A7F23055957C023DE94CD0DB34640",15,14,0.0018457584305295379
"Saint Francis","0101000020E6100000C25745982B5457C05A6BE9B35EB54640",15,14,0.0018457584305295379
"Elbow Lake","0101000020E6100000FE6F4F2D9CFE57C0FBD4BE42B3FE4640",0,0,0.0003237562342196044
"Riverton","0101000020E61000005612A538218357C0624C18B6AC3A4740",0,0,0.000649977194869087
"Robbinsdale","0101000020E6100000840B58E3525557C0EF4A695056834640",68,56,0.00597198106461106
"Le Center","0101000020E61000002F33793ACA6E57C00DB7958E7B314640",8,3,0.0005732772390500521
"Gilman","0101000020E6100000A8136A2FB47C57C089B0F90020DE4640",0,0,0.00031851495384345024
"Barry","0101000020E610000031A6161ADB2358C04BEEAAB475C74640",0,0,0.0002245693375964321
"Woodstock","0101000020E6100000BED99FEC300658C0D404332468014640",0,0,0.0002702738308455803
"Stockton","0101000020E6100000DECB855641F156C0637C06B578034640",0,0,0.000707190371055195
"Miesville","0101000020E61000009BDFC399743457C0FACF86ADAB4C4640",3,6,0.00046133833821149076
"Brooklyn Center","0101000020E61000000C33ACDF3B5457C099DD42AAB7884640",60,44,0.0055138081010767965
"Geneva","0101000020E6100000F823D2492B5157C0F8FA8B1251E94540",1,1,0.0005966495841957247
"Annandale","0101000020E6100000ABA7C8D3BC8757C00315AD203EA14640",1,3,0.0004551373221572643
"Okabena","0101000020E6100000137DCA6F66D457C0B5347F65A1DE4540",0,0,0.0003690470283359152
"Battle Lake","0101000020E61000004809D62506EE57C0A001FD6369244740",0,0,0.00031463813147420143
"Chanhassen","0101000020E6100000497AFC59026157C06017532E5E6E4640",39,54,0.00547425643160698
"Chanhassen","0101000020E610000022B2D835016457C0B04085BA5F6D4640",39,54,0.00547425643160698
"Lewisville","0101000020E6100000C43AB65ECB9B57C0D96A559048F64540",0,0,0.00039466032508777237
"Shoreview","0101000020E610000065D07E60B04857C0B3722485C78A4640",43,48,0.005448871187083387
"Orono","0101000020E610000095AA7E25D06557C0EEC0DB1C727B4640",45,51,0.004961838668289938
"Saint Bonifacius","0101000020E61000005980A4A8D76F57C093F9DDB3E4734640",12,13,0.0018205370905892727
"Kandiyohi","0101000020E6100000D8D55503B4BB57C090BB6D48D5904640",0,0,0.00041403637778976324
"Franklin","0101000020E61000008258796995B857C0D5263D3EEB434640",0,0,0.0004436989791444633
"Eden Valley","0101000020E6100000DD014364E1A257C0C55F7F754FAA4640",2,4,0.0009086230582879603
"Eden Valley","0101000020E610000050DCB38CF4A257C0D68269D612A94640",2,4,0.0009086230582879603
"Sherburn","0101000020E61000005717B3348EAE57C05CDDB64BD2D34540",0,0,0.00039604755829687847
"Pequot Lakes","0101000020E6100000A73D527B189357C0118C07E1344B4740",0,0,0.0004575153600486965
"Lakeville","0101000020E61000004933A50C1B5057C040513B379D564640",14,14,0.0014671126122252826
"Plato","0101000020E6100000FCF46DBB888257C0BF6DCAD5DF624640",5,7,0.0007653557798412488
"Byron","0101000020E6100000EE8C69A5052957C0FA1EA7ACE2044640",1,0,0.00046045835833343743
"Mazeppa","0101000020E6100000DE24353A922257C00C617C8C07234640",1,1,0.00066361501680212
"Kasson","0101000020E6100000638C25D2E52F57C076B63DD656044640",0,0,0.0008213181587596695
"Savage","0101000020E6100000D05961613E5757C02E5E20B293604640",16,19,0.0017747167491537052
"Royalton","0101000020E610000097625201B79257C0B5C2C13E8BEA4640",3,3,0.001012779309610567
"Royalton","0101000020E6100000951E001EF19257C0EB9DEC95E5E84640",3,3,0.001012779309610567
"Prior Lake","0101000020E6100000939476B4315C57C036A3223DE15C4640",8,10,0.0014372979867922743
"Hawley","0101000020E6100000EF3F2D39571458C03FF77E7041704740",0,0,0.0001768940741823629
"Saint Paul Park","0101000020E610000080E0251FAD3F57C0591F6F48026B4640",27,28,0.0024589880147407304
"Saint Michael","0101000020E6100000931D486A4A6C57C06094C398C7994640",18,19,0.001909488646088175
"Credit River","0101000020E6100000EDB0E853F65657C04372993242564640",4,9,0.0009576539719781119
"Glencoe","0101000020E610000085EF0802A78957C067B45F048F624640",4,5,0.0005892603046457691
"Bigelow","0101000020E6100000C3DD65ED22EC57C0789B3926A6C04540",0,0,0.00012553329685675981
"Warroad","0101000020E610000039EF257F01D557C0AA8EEAF23C754840",0,0,0.00004210958427536291
"New Prague","0101000020E6100000FA91105A906457C09D28FABDD8444640",11,12,0.0012272882612880016
"New Prague","0101000020E6100000D5843DFA086557C0F30631EA94464640",11,12,0.0012272882612880016
"Wilton","0101000020E61000001174610AF2BF57C0DE1D2F33F8C04740",0,0,0.00017130910152682484
"Janesville","0101000020E61000000A0FC5FB716D57C0072AEC7D6B0F4640",5,3,0.0006301399445572561
"Pillager","0101000020E61000000AECEA5EB29E57C0942C7FA0312A4740",0,0,0.0003068380450521985
"Harris","0101000020E6100000615E73F8283F57C03B22F84580CC4640",4,3,0.000339551995843622
"Urbank","0101000020E6100000376FB30FABE057C08F9D351AE60F4740",0,0,0.00031808975957826695
"Windom","0101000020E610000007C19B9BB4C757C0AD75EF8AD8EF4540",0,0,0.00044870498140312534
"Adams","0101000020E61000001ACFDD6C052E57C00454D08A5DC84540",0,0,0.0003931040511462459
"Alberta","0101000020E61000000173303E390358C00225AA0E96C94640",0,0,0.000346946993564869
"Lake Benton","0101000020E61000003FC23BC6851258C019DF24D4CE214640",0,0,0.00012252368349003064
"Maplewood","0101000020E61000004C1E5AA8934157C0E200935CF07D4640",46,44,0.004216162204377699
"Winnebago","0101000020E6100000D7B8F08DE58A57C0AF716F2BDEE14540",1,0,0.00036018037451764084
"Barnum","0101000020E61000001FE915920E2C57C0553EC040AD404740",0,0,0.00020188584059323823
"Trimont","0101000020E6100000AD4FFB30D6AD57C088226FF169E14540",0,0,0.00045749124875008805
"Saint Rosa","0101000020E6100000897131C7D5AD57C0BB742F6244DD4640",0,0,0.0005594901284149055
"Babbitt","0101000020E61000003EE3735889FC56C05EFD5D587ED24740",0,0,0.00004294977790849646
